series_id,year,period,value,item,periodName
WPU062101,2019,M01,335,PAINT,January
WPU062101,2020,M01,346.9,PAINT,January
WPU062101,2021,M01,354,PAINT,January
WPU062101,2022,M01,439.43,PAINT,January
WPU062101,2023,M01,509.063,PAINT,January
WPU062101,2024,M01,509.609,PAINT,January
WPU062101,2025,M01,511.403,PAINT,January
WPU0811,2019,M01,208.9,SOFTWOOD LUMBER,January
WPU0811,2020,M01,221.2,SOFTWOOD LUMBER,January
WPU0811,2021,M01,396.9,SOFTWOOD LUMBER,January
WPU0811,2022,M01,480.643,SOFTWOOD LUMBER,January
WPU0811,2023,M01,268.02,SOFTWOOD LUMBER,January
WPU0811,2024,M01,244.297,SOFTWOOD LUMBER,January
WPU0811,2025,M01,267.591,SOFTWOOD LUMBER,January
WPU1017,2019,M01,220.8,STEEL MILL PRODUCTS,January
WPU1017,2020,M01,187.3,STEEL MILL PRODUCTS,January
WPU1017,2021,M01,208,STEEL MILL PRODUCTS,January
WPU1017,2022,M01,441.497,STEEL MILL PRODUCTS,January
WPU1017,2023,M01,308.022,STEEL MILL PRODUCTS,January
WPU1017,2024,M01,321.392,STEEL MILL PRODUCTS,January
WPU1017,2025,M01,268.078,STEEL MILL PRODUCTS,January
WPU102501,2019,M01,201.2,ALUMINUM,January
WPU102501,2020,M01,192.3,ALUMINUM,January
WPU102501,2021,M01,193.5,ALUMINUM,January
WPU102501,2022,M01,253.817,ALUMINUM,January
WPU102501,2023,M01,236.333,ALUMINUM,January
WPU102501,2024,M01,225.148,ALUMINUM,January
WPU102501,2025,M01,246.962,ALUMINUM,January
WPU1311,2019,M01,137.2,GLASS,January
WPU1311,2020,M01,137.9,GLASS,January
WPU1311,2021,M01,143,GLASS,January
WPU1311,2022,M01,155.956,GLASS,January
WPU1311,2023,M01,167.328,GLASS,January
WPU1311,2024,M01,172.704,GLASS,January
WPU1311,2025,M01,175.762,GLASS,January
WPU1331,2019,M01,265.2,CONCRETE BLOCK AND BRICK,January
WPU1331,2020,M01,272.5,CONCRETE BLOCK AND BRICK,January
WPU1331,2021,M01,281.7,CONCRETE BLOCK AND BRICK,January
WPU1331,2022,M01,305.898,CONCRETE BLOCK AND BRICK,January
WPU1331,2023,M01,353.043,CONCRETE BLOCK AND BRICK,January
WPU1331,2024,M01,374.352,CONCRETE BLOCK AND BRICK,January
WPU1331,2025,M01,390.886,CONCRETE BLOCK AND BRICK,January
WPU13330101,2019,M01,272.5,READY-MIX CONCRETE,January
WPU13330101,2020,M01,281.6,READY-MIX CONCRETE,January
WPU13330101,2021,M01,285.4,READY-MIX CONCRETE,January
WPU13330101,2022,M01,309.607,READY-MIX CONCRETE,January
WPU13330101,2023,M01,350.112,READY-MIX CONCRETE,January
WPU13330101,2024,M01,376.419,READY-MIX CONCRETE,January
WPU13330101,2025,M01,392,READY-MIX CONCRETE,January
WPU136101,2019,M01,245.9,ASPHALT ROOFING & SIDING,January
WPU136101,2020,M01,248,ASPHALT ROOFING & SIDING,January
WPU136101,2021,M01,255.5,ASPHALT ROOFING & SIDING,January
WPU136101,2022,M01,305.208,ASPHALT ROOFING & SIDING,January
WPU136101,2023,M01,327.686,ASPHALT ROOFING & SIDING,January
WPU136101,2024,M01,345.616,ASPHALT ROOFING & SIDING,January
WPU136101,2025,M01,351.63,ASPHALT ROOFING & SIDING,January
WPU137,2019,M01,329.6,DRYWALL,January
WPU137,2020,M01,327.5,DRYWALL,January
WPU137,2021,M01,339.4,DRYWALL,January
WPU137,2022,M01,417.482,DRYWALL,January
WPU137,2023,M01,462.242,DRYWALL,January
WPU137,2024,M01,454.833,DRYWALL,January
WPU137,2025,M01,479.793,DRYWALL,January
WPUIP231100,2019,M01,108.8,INPUTS TO RESIDENTIAL CONSTRUCTION,January
WPUIP231100,2020,M01,111.1,INPUTS TO RESIDENTIAL CONSTRUCTION,January
WPUIP231100,2021,M01,122,INPUTS TO RESIDENTIAL CONSTRUCTION,January
WPUIP231100,2022,M01,143.52,INPUTS TO RESIDENTIAL CONSTRUCTION,January
WPUIP231100,2023,M01,145.788,INPUTS TO RESIDENTIAL CONSTRUCTION,January
WPUIP231100,2024,M01,148.32,INPUTS TO RESIDENTIAL CONSTRUCTION,January
WPUIP231100,2025,M01,150.001,INPUTS TO RESIDENTIAL CONSTRUCTION,January
